100,100,64,90,33,69,10,45,0,17,30,0,50,20,13,36,1
86,78,60,100,51,63,95,77,100,66,90,22,47,0,0,16,0
8,87,0,83,38,96,95,100,100,82,81,50,68,16,62,0,1
23,71,52,100,40,91,40,57,40,24,0,0,29,4,100,4,0
100,73,77,100,31,80,31,40,29,0,0,14,35,46,90,62,1
47,100,12,76,0,50,47,39,100,58,81,51,59,26,55,0,0
0,71,22,100,61,91,49,54,21,22,6,0,53,8,100,7,1
0,15,29,40,59,68,85,97,100,100,79,67,60,34,46,0,0
55,100,48,93,0,72,34,58,100,52,97,48,58,25,32,0,1
100,100,74,97,61,81,47,65,34,49,21,33,5,16,0,0,0
46,100,20,73,0,43,46,30,100,45,93,58,63,30,52,0,1
40,95,100,100,32,85,10,58,78,61,87,29,43,0,0,6,0
37,98,11,60,88,52,76,8,0,0,0,46,18,88,100,100,1
49,81,50,50,85,25,42,0,0,16,15,58,44,91,100,100,0
38,100,19,71,0,39,26,22,72,30,100,51,64,32,47,0,1
58,100,0,70,9,41,97,38,100,60,66,78,55,39,53,0,0
17,88,3,64,6,21,60,0,100,34,100,76,48,100,0,78,1
100,100,69,80,36,54,17,27,19,0,83,3,67,29,0,40,0
2,72,33,100,58,79,34,46,3,15,0,2,53,0,100,10,1
100,100,77,91,40,64,15,35,17,5,80,0,63,24,0,14,0
35,70,75,47,75,10,0,0,18,36,68,68,100,100,23,79,1
6,83,99,86,80,100,0,80,100,81,91,57,71,28,54,0,0
26,100,0,70,44,54,100,53,77,78,46,69,36,34,28,0,1
6,86,49,100,100,76,61,40,20,4,41,0,74,23,0,27,0
100,100,71,80,42,59,18,38,0,14,23,0,52,19,22,32,1
8,67,51,37,22,0,9,24,53,58,100,92,59,100,0,74,0
30,84,63,100,90,86,67,58,100,39,75,13,36,0,0,13,1
100,85,57,100,23,65,82,63,97,78,96,37,64,0,0,7,0
83,89,36,100,45,59,92,84,92,75,100,28,58,0,0,19,1
14,99,8,54,73,46,44,0,0,17,1,81,44,99,100,100,0
98,100,43,83,7,51,0,15,50,0,100,26,83,54,19,46,1
63,100,35,79,0,55,42,39,87,48,85,51,83,20,100,0,0
0,65,61,80,100,100,94,88,86,65,84,43,86,20,92,0,1
0,100,59,100,81,88,60,45,52,0,31,7,24,32,100,33,0
100,81,22,100,0,67,59,33,47,0,28,29,87,64,66,89,1
26,93,63,100,77,78,56,54,100,41,98,17,52,6,0,0,0
100,70,49,55,15,73,53,100,93,85,80,46,48,14,0,0,1
77,81,14,100,23,66,79,34,67,0,0,14,47,48,100,80,0
1,63,14,100,56,87,38,42,0,9,2,2,51,5,100,0,1
47,87,89,100,91,75,67,56,100,39,80,11,37,0,0,18,0
50,100,35,71,17,42,12,12,56,0,100,20,54,31,0,19,1
95,100,54,94,67,54,61,14,15,0,0,38,46,58,100,72,0
19,94,53,100,69,67,50,31,21,0,0,29,49,34,100,37,1
0,66,47,97,50,100,51,60,50,20,1,0,35,4,100,9,0
0,94,63,100,100,96,81,49,82,0,44,14,11,44,89,47,1
13,94,0,52,16,11,66,0,100,32,90,74,48,100,5,78,0
49,72,64,100,100,88,78,52,43,22,0,1,40,6,90,0,1
56,60,100,84,44,100,0,72,66,61,85,65,68,32,53,0,0
81,100,60,89,22,66,0,40,42,25,100,36,94,27,75,0,1
61,100,32,70,0,41,18,28,77,29,100,49,95,34,92,0,0
64,100,38,98,0,75,23,61,85,46,100,48,69,24,43,0,1
1,82,42,100,64,79,42,61,96,49,100,17,48,0,0,13,0
41,72,7,50,0,7,46,0,82,34,100,76,59,100,15,76,1
11,75,4,45,21,1,81,0,100,43,88,87,29,100,0,67,0
100,69,54,61,13,77,56,100,96,77,90,44,58,14,0,0,1
100,100,59,90,22,62,0,29,22,0,76,10,51,37,0,33,0
0,85,21,100,66,98,83,77,90,53,100,30,75,10,35,0,1
0,63,16,90,100,100,90,73,53,40,22,6,11,0,48,18,0
0,74,35,100,100,96,94,63,52,35,0,11,5,0,77,6,1
43,89,93,100,66,91,40,64,82,43,100,15,52,0,0,1,0
43,81,11,69,78,51,100,17,27,0,0,32,14,80,84,100,1
36,100,24,70,0,38,49,33,95,47,87,55,96,21,100,0,0
16,75,41,100,52,64,32,27,0,0,21,9,62,2,100,14,1
56,100,27,79,0,39,12,0,66,15,100,51,93,93,38,93,0
19,100,0,61,3,23,48,0,97,27,100,66,62,97,10,81,1
38,100,37,81,12,55,0,28,52,27,100,42,86,26,65,0,0
